Time,CPU
22:32:43,3.2
22:32:44,8.8
22:32:45,2.2
22:32:46,1.2
22:32:47,0.5
22:32:48,0.9
22:32:49,5.7
22:32:50,10.6
22:32:51,14.7
22:32:52,13.8
22:32:53,4.2
22:32:54,5.7
22:32:55,1.7
22:32:56,4.5
22:32:57,0.8
22:32:58,0.5
22:32:59,4.7
22:33:00,0.9
22:33:01,2.1
22:33:02,2.5
22:33:03,0.9
22:33:04,4.0
22:33:05,1.7
22:33:06,0.7
22:33:07,0.8
22:33:08,2.1
22:33:09,8.3
22:33:10,5.3
22:33:11,8.9
22:33:12,1.4
22:33:13,1.8
22:33:14,2.8
22:33:15,5.8
22:33:16,0.3
22:33:17,2.5
22:33:18,2.7
22:33:19,13.5
22:33:20,21.3
22:33:21,8.5
22:33:22,2.1
22:33:23,6.2
22:33:24,2.2
22:33:25,6.0
22:33:26,4.5
22:33:27,1.7
22:33:28,3.2
22:33:29,6.3
22:33:30,7.3
22:33:31,7.7
22:33:32,10.1
22:33:33,3.2
22:33:34,1.7
22:33:35,10.8
22:33:36,12.8
22:33:37,1.8
21:45:00,1.2
21:45:17,2.3
21:45:20,5.9
21:47:12,0.8
21:47:14,5.2
21:47:19,7.0
21:48:14,0.4
21:48:15,6.0
21:48:22,16.0
21:49:48,1.6
21:49:49,6.9
21:50:11,1.0
21:50:12,8.4
21:50:43,2.3
21:51:00,2.3
21:51:58,4.3
21:52:25,7.4
